id,title,release_date,popularity,vote_average,vote_count,genre_ids,overview,ingested_at,popularity_category
1368881,Ladies First,2026-05-21 00:00:00 UTC,27.2594,6.003,321,"[35, 14]","An arrogant but charismatic ladies' man finds his life of money, power and casual flings upended when he wakes up in a parallel world dominated by women.",2026-06-14T21:38:55.836513,Low
1375646,Colony,2026-05-21 00:00:00 UTC,36.8439,6.868,57,"[28, 53, 27]","Professor Se-jeong is thrust into a bloody nightmare when a rapidly mutating virus is released during a biotech conference causing authorities to seal the facility. Trapped inside with no escape, Se-jeong along with a small group of survivors must fight to stay alive while the infected undergo horrific transformations.",2026-06-14T21:38:55.836513,Low
1380316,Is God Is,2026-05-14 00:00:00 UTC,14.1866,5.8,42,"[18, 53]","Two sisters embark on an epic quest for revenge, confronting a charged family history that pushes them to extraordinary lengths.",2026-06-14T21:38:55.836513,Low
1387139,Empire of Lies,2026-03-27 00:00:00 UTC,4.6167,6.333,3,"[18, 53]","When a mysterious young woman comes to interview a paranoid man living in rural isolation, he is forced to confront his part in his daughter's murder.",2026-06-14T21:38:55.836513,Low
1398655,Blue Film,2026-05-08 00:00:00 UTC,12.7138,7.5,3,[18],"Drawn by the promise of easy money and anonymous sex, queer camboy Aaron Eagle is shocked to discover a personal connection with the mysterious stranger who has paid for his company. Over the course of one night, the two men engage in a war of words and emotions as they wrestle with the impact of a tainted and shared past.",2026-06-14T21:38:55.836513,Low
1408208,Exit 8,2025-08-28 00:00:00 UTC,19.5109,6.776,456,"[27, 9648]","A man trapped in an endless sterile subway passageway sets out to find Exit 8. The rules of his quest are simple: do not overlook anything out of the ordinary. If you discover an anomaly, turn back immediately. If you don’t, carry on. Then leave from Exit 8. But even a single oversight will send him back to the beginning. Will he ever reach his goal and escape this infinite corridor?",2026-06-14T21:38:55.836513,Low
1409853,Neglected,2026-05-08 00:00:00 UTC,5.6245,6,1,"[28, 53]",Detective Shaw is about to retire when he finds out on his last day of work that a serial killer has buried his son alive. He then races against the clock to solve three murders and find his son’s location before he runs out of air.,2026-06-14T21:38:55.836513,Low
1445363,EPiC: Elvis Presley in Concert,2026-02-18 00:00:00 UTC,3.489,8.345,74,"[10402, 99]","Long-lost footage from Elvis Presley's legendary Las Vegas residency in the 1970s woven together with rare 16mm footage from Elvis on Tour, and 8mm from the Graceland archive, plus recordings of Elvis telling ""his side of the story"" rediscovered during Baz Luhrmann's research for his 2022 film, Elvis.",2026-06-14T21:38:55.836513,Low
1477431,Time of Death,2025-08-08 00:00:00 UTC,8.6031,3.3,3,"[53, 27, 9648]","When a prisoner vanishes without a trace, Detective Frank Morley (Michael Kelly) is sent to a decaying prison on the verge of shutdown. What begins as a routine investigation quickly spirals into a dangerous search for answers.",2026-06-14T21:38:55.836513,Low
1501018,A Family of Bastards,2026-06-12 00:00:00 UTC,20.5639,5.594,16,"[35, 80]","After the death of his father, Mohamed discovers the living of a step-brother and a step-sister. Together, they must manage the suspicious bar they inherited of linked to criminality, drug traffic and prostitution.",2026-06-14T21:38:55.836513,Low
